Student ID,P-1,P-2,P-3,P-4,P-5,C-1,C-2,C-3,C-4,C-5,M-1,M-2,M-3,M-4,M-5
16CS08,33,38,45,59,43,45,60,33,66,49,60,45,83,89,76
16CS09,50,55,30,40,45,40,70,80,75,70,43,35,38,41,49
16CS10,60,70,68,80,77,50,40,75,73,83,45,60,33,40,49
16CS01,47,49,55,30,33,60,39,67,75,90,40,55,70,65,80
16CS02,70,85,30,94,97,33,38,45,59,43,50,60,86,30,17
16CS03,33,34,40,50,49,50,55,30,40,45,80,90,85,75,70
16CS04,45,30,79,30,25,60,70,68,80,77,35,35,40,30,20
16CS05,57,60,70,30,20,47,49,55,30,33,30,40,60,45,25
16CS06,55,45,65,90,95,70,85,30,94,97,85,83,90,93,75
16CS07,60,45,83,89,76,33,34,40,50,49,60,40,50,75,35
16CS08,43,35,38,41,49,45,30,79,30,25,33,38,45,59,43
16CS09,45,60,33,66,49,90,60,40,55,70,50,55,30,40,45
16CS10,40,55,70,65,80,30,70,60,30,50,60,70,68,80,77
16CS01,60,40,70,80,90,60,40,88,30,65,47,49,55,30,33
16CS02,40,45,60,70,99,80,40,67,55,90,100,95,80,93,89
16CS03,33,37,40,44,43,40,69,89,70,40,35,30,45,60,43
16CS04,50,60,86,30,17,60,40,34,30,43,63,70,75,60,80
16CS05,80,90,85,75,70,35,60,40,30,50,53,55,80,70,73
16CS06,35,35,40,30,20,88,64,50,90,75,33,35,55,47,50
16CS07,30,40,60,45,25,50,50,30,70,55,90,95,83,85,93
16CS08,85,83,90,93,75,39,48,40,60,40,33,30,25,29,22
16CS09,60,40,50,75,35,23,25,30,40,45,60,40,70,60,23
16CS10,100,95,80,93,89,30,40,60,45,25,90,60,40,55,70
16CS01,35,30,45,60,43,85,83,90,93,75,30,70,60,30,50
16CS02,63,70,75,60,80,60,40,50,75,35,60,40,88,30,65
16CS03,53,55,80,70,73,100,95,80,93,89,80,40,67,55,90
16CS04,33,35,55,47,50,35,30,45,60,43,40,69,89,70,40
16CS05,90,95,83,85,93,63,70,75,60,80,60,40,34,30,43
16CS06,33,30,25,29,22,53,55,80,70,73,35,60,40,30,50
16CS07,60,40,70,60,23,33,35,55,47,50,88,64,50,90,75
16CS08,65,45,70,60,77,90,95,83,85,93,50,50,30,70,55
16CS09,70,80,70,69,85,33,30,25,29,22,39,48,40,60,40
16CS10,33,40,35,50,55,60,40,70,60,23,70,50,43,70,63
16CS01,40,70,80,75,70,60,40,88,30,65,33,37,40,44,43
16CS02,50,40,75,73,83,80,40,67,55,90,50,60,86,30,17
16CS03,60,39,67,75,90,40,69,89,70,40,80,90,85,75,70
16CS04,33,38,45,59,43,60,40,34,30,43,35,35,40,30,20
16CS05,50,55,30,40,45,35,60,40,30,50,30,40,60,45,25
16CS06,60,70,68,80,77,88,64,50,90,75,85,83,90,93,75
16CS07,47,49,55,30,33,50,50,30,70,55,60,40,50,75,35
16CS08,70,85,30,94,97,39,48,40,60,40,100,95,80,93,89
16CS09,33,34,40,50,49,45,60,70,30,20,35,30,45,60,43
16CS10,45,30,79,30,25,55,45,65,90,95,63,70,75,60,80
16CS01,90,60,40,55,70,60,45,83,89,76,53,55,80,70,73
16CS02,30,70,60,30,50,43,35,38,41,49,33,35,55,47,50
16CS03,60,40,88,30,65,33,38,45,59,43,90,95,83,85,93
16CS04,80,40,67,55,90,50,55,30,40,45,33,30,25,29,22
16CS05,40,69,89,70,40,60,70,68,80,77,60,40,70,60,23
16CS06,35,35,40,30,20,47,49,55,30,33,65,45,70,60,77
16CS07,30,40,60,45,25,35,37,39,41,43,22,26,30,33,35
16CS08,50,50,30,70,55,35,60,40,30,50,40,60,90,10,51
16CS09,39,48,40,60,40,88,64,50,90,75,40,70,80,75,70
16CS10,45,60,70,30,20,50,50,30,70,55,50,40,75,73,83
16CS01,55,45,65,90,95,39,48,40,60,40,60,39,67,75,90
16CS02,60,45,83,89,76,45,60,70,30,20,33,38,45,59,43
16CS03,43,35,38,41,49,55,45,65,90,95,50,55,30,40,45
16CS04,45,60,33,40,49,60,45,83,89,76,60,70,68,80,77
16CS05,40,55,70,65,80,43,35,38,41,49,47,49,55,30,33
16CS06,50,60,86,30,17,45,60,33,40,49,70,85,30,94,97
16CS07,80,90,85,75,70,40,55,70,65,80,33,34,40,50,49
16CS08,35,35,40,30,20,60,40,70,80,76,45,30,79,30,25
16CS09,30,40,60,45,25,40,45,60,70,99,57,60,70,30,20
16CS10,85,83,90,93,75,33,37,40,44,43,55,45,65,90,95
16CS01,43,35,38,41,49,70,85,30,94,97,30,70,60,30,50
16CS02,45,60,33,40,49,33,34,40,50,49,60,40,88,30,65
16CS03,40,55,70,65,80,45,30,79,30,25,80,40,67,55,90
16CS04,60,40,70,80,76,90,60,40,55,70,40,69,89,70,40
16CS05,40,45,60,70,99,30,70,60,30,50,60,40,34,30,43
16CS06,33,37,40,44,43,60,40,88,30,65,35,60,40,30,50
16CS07,50,60,86,67,65,80,40,67,55,90,88,64,50,90,75
16CS08,50,60,86,30,17,40,69,89,70,40,50,50,30,70,55
16CS09,80,90,85,75,70,60,40,34,30,43,39,48,40,60,40
16CS10,33,37,40,44,43,60,40,88,30,65,35,60,40,30,50
